id,imdb_id,popularity,title,cast,genres,tags
135397,tt0369610,32.985763,Jurassic World,"['chris pratt', 'bryce dallas howard', 'irrfan khan', ""vincent d'onofrio"", 'nick robinson']","['action', 'adventure', 'science fiction', 'thriller']","['action', 'adventure', 'science fiction', 'thriller', 'monster', 'dna', 'tyrannosaurus rex', 'velociraptor', 'island', 'chris pratt', 'bryce dallas howard', 'irrfan khan', ""vincent d'onofrio"", 'nick robinson']"
76341,tt1392190,28.419936,Mad Max: Fury Road,"['tom hardy', 'charlize theron', 'hugh keays-byrne', 'nicholas hoult', 'josh helman']","['action', 'adventure', 'science fiction', 'thriller']","['action', 'adventure', 'science fiction', 'thriller', 'future', 'chase', 'post-apocalyptic', 'dystopia', 'australia', 'tom hardy', 'charlize theron', 'hugh keays-byrne', 'nicholas hoult', 'josh helman']"
262500,tt2908446,13.112507,Insurgent,"['shailene woodley', 'theo james', 'kate winslet', 'ansel elgort', 'miles teller']","['adventure', 'science fiction', 'thriller']","['adventure', 'science fiction', 'thriller', 'based on novel', 'revolution', 'dystopia', 'sequel', 'dystopic future', 'shailene woodley', 'theo james', 'kate winslet', 'ansel elgort', 'miles teller']"
140607,tt2488496,11.173104,Star Wars: The Force Awakens,"['harrison ford', 'mark hamill', 'carrie fisher', 'adam driver', 'daisy ridley']","['action', 'adventure', 'science fiction', 'fantasy']","['action', 'adventure', 'science fiction', 'fantasy', 'android', 'spaceship', 'jedi', 'space opera', '3d', 'harrison ford', 'mark hamill', 'carrie fisher', 'adam driver', 'daisy ridley']"
168259,tt2820852,9.335014,Furious 7,"['vin diesel', 'paul walker', 'jason statham', 'michelle rodriguez', 'dwayne johnson']","['action', 'crime', 'thriller']","['action', 'crime', 'thriller', 'car race', 'speed', 'revenge', 'suspense', 'car', 'vin diesel', 'paul walker', 'jason statham', 'michelle rodriguez', 'dwayne johnson']"
281957,tt1663202,9.1107,The Revenant,"['leonardo dicaprio', 'tom hardy', 'will poulter', 'domhnall gleeson', 'paul anderson']","['western', 'drama', 'adventure', 'thriller']","['western', 'drama', 'adventure', 'thriller', 'father-son relationship', 'rape', 'based on novel', 'mountains', 'winter', 'leonardo dicaprio', 'tom hardy', 'will poulter', 'domhnall gleeson', 'paul anderson']"
87101,tt1340138,8.654359,Terminator Genisys,"['arnold schwarzenegger', 'jason clarke', 'emilia clarke', 'jai courtney', 'j.k. simmons']","['science fiction', 'action', 'thriller', 'adventure']","['science fiction', 'action', 'thriller', 'adventure', 'saving the world', 'artificial intelligence', 'cyborg', 'killer robot', 'future', 'arnold schwarzenegger', 'jason clarke', 'emilia clarke', 'jai courtney', 'j.k. simmons']"
286217,tt3659388,7.6674,The Martian,"['matt damon', 'jessica chastain', 'kristen wiig', 'jeff daniels', 'michael peã±a']","['drama', 'adventure', 'science fiction']","['drama', 'adventure', 'science fiction', 'based on novel', 'mars', 'nasa', 'isolation', 'botanist', 'matt damon', 'jessica chastain', 'kristen wiig', 'jeff daniels', 'michael peã±a']"
211672,tt2293640,7.404165,Minions,"['sandra bullock', 'jon hamm', 'michael keaton', 'allison janney', 'steve coogan']","['family', 'animation', 'adventure', 'comedy']","['family', 'animation', 'adventure', 'comedy', 'assistant', 'aftercreditsstinger', 'duringcreditsstinger', 'evil mastermind', 'minions', 'sandra bullock', 'jon hamm', 'michael keaton', 'allison janney', 'steve coogan']"
150540,tt2096673,6.326804,Inside Out,"['amy poehler', 'phyllis smith', 'richard kind', 'bill hader', 'lewis black']","['comedy', 'animation', 'family']","['comedy', 'animation', 'family', 'dream', 'cartoon', 'imaginary friend', 'animation', 'kid', 'amy poehler', 'phyllis smith', 'richard kind', 'bill hader', 'lewis black']"
206647,tt2379713,6.200282,Spectre,"['daniel craig', 'christoph waltz', 'lã©a seydoux', 'ralph fiennes', 'monica bellucci']","['action', 'adventure', 'crime']","['action', 'adventure', 'crime', 'spy', 'based on novel', 'secret agent', 'sequel', 'james bond', 'daniel craig', 'christoph waltz', 'lã©a seydoux', 'ralph fiennes', 'monica bellucci']"
